topic_id,rank,keyword,mean_tfidf,n_docs_in_group,scope
-1,1,household,0.07658,114,corpus-wide
-1,2,loss,0.04778,114,corpus-wide
-1,3,climate_change,0.04659,114,corpus-wide
-1,4,production,0.04616,114,corpus-wide
-1,5,crop,0.04193,114,corpus-wide
-1,6,farmer,0.03549,114,corpus-wide
-1,7,impact,0.03301,114,corpus-wide
-1,8,agriculture,0.03179,114,corpus-wide
-1,9,technology,0.03152,114,corpus-wide
-1,10,agricultural,0.03069,114,corpus-wide
-1,11,rice,0.02972,114,corpus-wide
-1,12,yield,0.02937,114,corpus-wide
-1,13,availability,0.02883,114,corpus-wide
-1,14,africa,0.0274,114,corpus-wide
-1,15,system,0.02624,114,corpus-wide
-1,16,environmental,0.02598,114,corpus-wide
-1,17,land,0.02507,114,corpus-wide
-1,18,productivity,0.02504,114,corpus-wide
-1,19,future,0.02481,114,corpus-wide
-1,20,change,0.02434,114,corpus-wide
-1,21,climate,0.02393,114,corpus-wide
-1,22,ethiopia,0.02334,114,corpus-wide
-1,23,region,0.02332,114,corpus-wide
-1,24,area,0.02329,114,corpus-wide
-1,25,factor,0.02291,114,corpus-wide
-1,26,trade,0.0225,114,corpus-wide
-1,27,practice,0.02236,114,corpus-wide
-1,28,economic,0.0218,114,corpus-wide
-1,29,adaptation,0.02167,114,corpus-wide
-1,30,storage,0.02149,114,corpus-wide
0,1,crop,0.11868,10,per-topic
0,2,environmental,0.11269,10,per-topic
0,3,region,0.08525,10,per-topic
0,4,rice,0.0844,10,per-topic
0,5,production,0.08246,10,per-topic
0,6,resource,0.08047,10,per-topic
0,7,salinity,0.07646,10,per-topic
0,8,impact,0.07596,10,per-topic
0,9,water,0.07441,10,per-topic
0,10,environmental_impact,0.05822,10,per-topic
0,11,technology,0.05727,10,per-topic
0,12,yield,0.05719,10,per-topic
0,13,value_chain,0.05685,10,per-topic
0,14,growing,0.05254,10,per-topic
0,15,southern_africa,0.05231,10,per-topic
1,1,resilience,0.1365,7,per-topic
1,2,grain,0.1125,7,per-topic
1,3,supply_chain,0.10299,7,per-topic
1,4,fruit_vegetable,0.09057,7,per-topic
1,5,system,0.08772,7,per-topic
1,6,waste,0.08593,7,per-topic
1,7,institutional,0.0849,7,per-topic
1,8,postharvest_loss,0.08412,7,per-topic
1,9,economic,0.08398,7,per-topic
1,10,sap,0.07742,7,per-topic
1,11,stage,0.07011,7,per-topic
1,12,postharvest,0.06566,7,per-topic
1,13,loss,0.06234,7,per-topic
1,14,critical,0.05886,7,per-topic
1,15,knowledge,0.0575,7,per-topic
2,1,ethiopia,0.25182,3,per-topic
2,2,agriculture,0.19878,3,per-topic
2,3,csa_practice,0.15787,3,per-topic
2,4,change,0.14735,3,per-topic
2,5,calorie,0.1362,3,per-topic
2,6,climate_change,0.1227,3,per-topic
2,7,rural,0.12228,3,per-topic
2,8,farm_income,0.11107,3,per-topic
2,9,csa,0.11107,3,per-topic
2,10,climate,0.10933,3,per-topic
2,11,african,0.09835,3,per-topic
2,12,agricultural_productivity,0.09519,3,per-topic
2,13,improve,0.09375,3,per-topic
2,14,adopted,0.09041,3,per-topic
2,15,household_income,0.08772,3,per-topic
3,1,organic_farming,0.15423,5,per-topic
3,2,soil,0.14633,5,per-topic
3,3,land,0.13573,5,per-topic
3,4,yield,0.13227,5,per-topic
3,5,malawi,0.12953,5,per-topic
3,6,spatial,0.10662,5,per-topic
3,7,option,0.08931,5,per-topic
3,8,lower,0.08749,5,per-topic
3,9,practice,0.08434,5,per-topic
3,10,maize,0.0796,5,per-topic
3,11,temperature,0.07696,5,per-topic
3,12,adverse,0.071,5,per-topic
3,13,effect,0.06945,5,per-topic
3,14,future,0.06937,5,per-topic
3,15,district,0.06527,5,per-topic
4,1,urban,0.12342,7,per-topic
4,2,hermetic_bag,0.09133,7,per-topic
4,3,biodiversity,0.08727,7,per-topic
4,4,temperature,0.08533,7,per-topic
4,5,variable,0.08282,7,per-topic
4,6,wheat,0.07349,7,per-topic
4,7,agriculture,0.06993,7,per-topic
4,8,yield,0.06632,7,per-topic
4,9,crop,0.06513,7,per-topic
4,10,response,0.06421,7,per-topic
4,11,grain,0.06408,7,per-topic
4,12,change,0.06187,7,per-topic
4,13,content,0.06097,7,per-topic
4,14,climate_change,0.05623,7,per-topic
4,15,driver,0.05622,7,per-topic
5,1,climate_change,0.11062,16,per-topic
5,2,production,0.07598,16,per-topic
5,3,investment,0.07325,16,per-topic
5,4,impact,0.06334,16,per-topic
5,5,africa,0.06069,16,per-topic
5,6,land,0.05971,16,per-topic
5,7,mitigation,0.05822,16,per-topic
5,8,implication,0.05814,16,per-topic
5,9,people,0.05555,16,per-topic
5,10,flw,0.05384,16,per-topic
5,11,availability,0.0523,16,per-topic
5,12,agricultural_system,0.04957,16,per-topic
5,13,agricultural,0.04912,16,per-topic
5,14,climate,0.04453,16,per-topic
5,15,greenhouse_gas,0.04323,16,per-topic
6,1,availability,0.13966,13,per-topic
6,2,rice,0.13769,13,per-topic
6,3,trade,0.13305,13,per-topic
6,4,household,0.0687,13,per-topic
6,5,price,0.05944,13,per-topic
6,6,cereal,0.05725,13,per-topic
6,7,maize,0.05328,13,per-topic
6,8,subsaharan_africa,0.05314,13,per-topic
6,9,participant,0.05263,13,per-topic
6,10,india,0.05164,13,per-topic
6,11,uganda,0.0476,13,per-topic
6,12,variety,0.04699,13,per-topic
6,13,production,0.04596,13,per-topic
6,14,sahbhagi_dhan,0.04482,13,per-topic
6,15,better,0.04402,13,per-topic
7,1,household,0.24957,27,per-topic
7,2,farmer,0.08084,27,per-topic
7,3,adaptation_strategy,0.06955,27,per-topic
7,4,determinant,0.06559,27,per-topic
7,5,income,0.06234,27,per-topic
7,6,adoption,0.06054,27,per-topic
7,7,rainfall,0.04768,27,per-topic
7,8,regression,0.04655,27,per-topic
7,9,factor,0.0415,27,per-topic
7,10,climate_change,0.04079,27,per-topic
7,11,livelihood,0.04073,27,per-topic
7,12,farming,0.04054,27,per-topic
7,13,education,0.03912,27,per-topic
7,14,ethiopia,0.03859,27,per-topic
7,15,collected,0.03833,27,per-topic
8,1,tradeoff,0.22735,2,per-topic
8,2,citation,0.18667,2,per-topic
8,3,burmese,0.16702,2,per-topic
8,4,circular,0.14377,2,per-topic
8,5,military,0.12772,2,per-topic
8,6,burma,0.12772,2,per-topic
8,7,source,0.12342,2,per-topic
8,8,sustainability,0.12317,2,per-topic
8,9,feed,0.11702,2,per-topic
8,10,control,0.11507,2,per-topic
8,11,ceasefire,0.10807,2,per-topic
8,12,future,0.10457,2,per-topic
8,13,government,0.10193,2,per-topic
8,14,see,0.0994,2,per-topic
8,15,reduction,0.09804,2,per-topic
9,1,loss,0.15696,11,per-topic
9,2,crop,0.08627,11,per-topic
9,3,increased,0.07952,11,per-topic
9,4,agricultural_productivity,0.07926,11,per-topic
9,5,storage,0.07301,11,per-topic
9,6,grain_storage,0.0651,11,per-topic
9,7,would,0.06435,11,per-topic
9,8,conventional,0.06418,11,per-topic
9,9,calorie,0.06109,11,per-topic
9,10,value,0.05991,11,per-topic
9,11,postharvest_management,0.05794,11,per-topic
9,12,grain,0.0572,11,per-topic
9,13,postharvest_loss,0.05622,11,per-topic
9,14,seasonal,0.05613,11,per-topic
9,15,production,0.05473,11,per-topic
10,1,sensor,0.17916,4,per-topic
10,2,silo,0.17674,4,per-topic
10,3,financing,0.12366,4,per-topic
10,4,chain,0.11424,4,per-topic
10,5,loss_waste,0.09622,4,per-topic
10,6,storage,0.08714,4,per-topic
10,7,model,0.08463,4,per-topic
10,8,temperature,0.08412,4,per-topic
10,9,various,0.08065,4,per-topic
10,10,actor,0.07912,4,per-topic
10,11,wheat,0.07581,4,per-topic
10,12,efficiency,0.07021,4,per-topic
10,13,along,0.06971,4,per-topic
10,14,grain,0.06966,4,per-topic
10,15,rice,0.06795,4,per-topic
11,1,loss,0.13738,9,per-topic
11,2,fish,0.12217,9,per-topic
11,3,adaptation,0.10586,9,per-topic
11,4,right,0.06376,9,per-topic
11,5,due,0.0635,9,per-topic
11,6,fertilizer,0.06214,9,per-topic
11,7,producer,0.06094,9,per-topic
11,8,climate_change,0.06077,9,per-topic
11,9,farmer,0.05861,9,per-topic
11,10,postharvest_loss,0.05808,9,per-topic
11,11,fruit_vegetable,0.05608,9,per-topic
11,12,phl,0.05331,9,per-topic
11,13,appropriate,0.05236,9,per-topic
11,14,would,0.05226,9,per-topic
11,15,decision,0.05103,9,per-topic
