Rank,Keyword,TF-IDF Score
1,household,0.07658
2,loss,0.04778
3,climate_change,0.04659
4,production,0.04616
5,crop,0.04193
6,farmer,0.03549
7,impact,0.03301
8,agriculture,0.03179
9,technology,0.03152
10,agricultural,0.03069
11,rice,0.02972
12,yield,0.02937
13,availability,0.02883
14,africa,0.0274
15,system,0.02624
16,environmental,0.02598
17,land,0.02507
18,productivity,0.02504
19,future,0.02481
20,change,0.02434
21,climate,0.02393
22,ethiopia,0.02334
23,region,0.02332
24,area,0.02329
25,factor,0.02291
26,trade,0.0225
27,practice,0.02236
28,economic,0.0218
29,adaptation,0.02167
30,storage,0.02149
